,STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2
57,other,50,H,F,2,L,F,D
58,TX,18,U,M,3,L,F,A
59,IN,44,H,F,2,L,F,C
60,TX,40,H,M,3,L,F,A
61,GA,44,H,F,2,L,F,B
62,other,53,H,M,2,L,F,D
63,TX,40,H,F,3,L,F,A
64,GA,46,H,M,3,L,F,D
65,NC,17,H,F,3,L,D,B
66,FL,28,U,M,3,L,G,B
67,IL,43,U,F,3,L,E,A
68,CA,7,U,F,3,L,G,A
69,IN,45,U,M,2,L,G,D
70,CA,37,H,F,2,L,D,C
71,other,40,H,other,3,L,G,D
72,other,14,U,F,2,L,F,B
73,NC,53,U,F,3,L,F,D
74,CA,10,H,M,2,L,E,A
75,MI,24,H,F,3,L,F,A
76,other,38,U,F,3,L,G,A
77,IL,21,H,M,2,L,E,A
78,CA,13,H,F,2,L,F,A
79,FL,9,H,F,3,L,F,A
80,WI,11,H,M,1,L,G,B
81,FL,28,U,M,1,L,F,B
82,TX,11,H,F,3,L,E,A
83,other,46,U,M,2,L,F,D
84,CA,7,U,F,3,L,F,A
85,GA,43,U,F,1,L,F,B
86,CA,3,H,F,3,L,F,A
87,other,28,H,M,1,L,F,C
88,FL,29,H,F,3,L,G,B
89,TX,30,H,F,3,L,G,C
90,other,25,U,M,3,L,G,B
91,NC,45,H,F,2,L,F,D
92,other,31,H,M,3,L,D,B
93,GA,18,H,M,3,L,E,A
94,other,27,H,M,3,L,E,C
95,other,45,U,F,3,L,E,D
96,other,36,H,F,3,L,F,C
97,MO,40,U,M,3,L,D,C
98,FL,29,H,F,3,L,E,B
99,CA,13,U,M,3,L,F,A
100,FL,4,U,F,2,L,F,A
101,other,12,U,F,2,L,E,B
102,CA,10,H,F,3,L,G,A
103,other,44,U,M,2,L,E,B
104,TX,3,H,F,3,L,G,A
105,CA,22,U,F,3,L,G,A
106,other,41,U,F,3,L,D,B
107,FL,18,H,M,3,L,G,B
108,other,51,U,F,2,L,F,D
109,CA,13,H,M,3,L,G,A
110,TX,24,U,other,1,L,E,C
111,TX,49,H,M,3,L,F,D
112,NC,36,H,F,3,L,F,D
113,CA,24,H,M,2,L,G,A
114,other,12,H,F,3,L,F,B
115,other,13,H,M,3,L,G,B
116,other,43,H,M,3,L,G,B
117,other,24,H,F,3,L,E,B
118,TX,13,H,M,3,L,G,A
119,other,18,H,F,3,L,E,C
120,MO,39,U,M,3,L,E,D
121,other,43,H,M,3,L,F,D
122,FL,23,U,F,3,L,D,B
123,FL,33,H,M,2,L,F,A
124,CA,24,H,M,3,L,E,A
125,FL,49,U,F,3,L,G,B
126,FL,40,U,F,2,L,F,B
127,other,8,H,F,3,L,F,A
128,other,8,U,M,1,L,E,B
129,other,31,H,F,2,L,G,B
130,FL,37,H,F,2,L,F,C
131,IL,13,H,F,3,L,E,A
132,other,14,H,F,2,L,F,A
133,IL,13,H,F,2,L,G,A
134,IL,30,H,F,3,L,G,B
135,MI,40,H,F,3,L,F,A
136,CA,3,U,F,2,L,F,A
137,MI,24,U,M,3,L,F,C
138,IL,36,U,F,3,L,G,B
139,TX,12,H,M,3,L,G,B
140,MI,44,H,M,3,L,F,A
141,other,40,H,F,2,L,F,C
142,WA,40,H,M,2,L,E,A
143,IL,7,H,F,3,L,F,A
144,FL,30,H,F,3,L,F,B
145,MI,17,U,F,3,L,G,A
146,MO,36,H,F,2,L,F,D
147,IN,49,U,M,3,L,F,C
148,CA,14,H,M,2,L,G,B
149,FL,28,H,F,3,L,D,B
150,IN,44,U,M,3,L,E,B
151,other,45,U,F,1,L,F,B
152,TX,10,H,F,1,L,E,C
153,CA,15,U,F,3,L,G,A
154,TX,32,H,F,3,L,G,A
155,other,36,U,M,3,L,G,C
156,other,27,H,M,3,L,F,C
157,FL,53,U,M,3,L,E,C
158,other,51,U,M,3,L,F,D
159,CA,24,H,F,3,L,F,C
160,MI,36,U,F,3,L,G,D
161,other,12,H,M,3,L,E,B
162,other,30,U,M,2,L,F,C
163,other,31,H,M,3,L,E,C
164,NC,22,U,F,3,L,E,B
165,other,31,U,M,3,L,E,B
166,FL,22,U,F,2,L,F,B
167,other,40,U,M,3,L,F,B
168,GA,39,U,F,1,L,F,B
169,CA,46,U,F,3,L,E,B
170,GA,27,H,M,3,L,F,B
171,MI,32,U,F,2,L,F,B
172,FL,27,U,F,3,L,D,B
173,other,16,H,F,2,L,G,B
174,TX,40,U,F,2,L,F,A
175,CA,35,H,F,3,L,G,A
176,MI,43,H,M,3,L,F,D
177,CA,44,H,F,3,L,F,A
178,CA,10,U,F,2,L,F,A
179,FL,9,U,F,3,L,F,C
180,WA,27,H,F,3,L,F,A
181,other,41,H,F,2,L,F,D
182,NC,40,H,F,3,L,E,D
183,other,10,U,other,3,L,F,A
184,other,51,U,M,3,L,F,D
185,CA,20,H,F,3,L,G,A
186,FL,46,U,F,3,L,E,B
187,other,51,U,M,3,L,G,B
188,CA,1,H,F,3,L,F,A
189,other,18,U,M,2,L,G,B
190,NC,38,U,F,2,L,D,C
191,CA,35,H,F,3,L,F,A
192,other,49,U,F,3,L,E,D
193,TX,16,H,F,3,L,F,A
194,FL,46,H,F,3,L,F,C
195,CA,40,U,M,3,L,G,B
196,GA,15,U,M,3,L,G,C
197,MI,10,H,F,2,L,D,A
198,other,5,H,M,3,L,E,B
199,WA,40,H,M,3,L,E,A
200,GA,40,H,M,2,L,E,C
201,MI,38,H,F,3,L,E,A
202,WA,39,H,M,2,L,F,C
203,other,23,U,F,3,L,F,A
204,CA,12,H,F,3,L,G,A
205,FL,37,U,M,2,L,F,B
206,WA,24,H,M,3,L,F,C
207,TX,24,H,M,3,L,G,A
208,CA,10,H,F,3,L,G,A
209,CA,30,H,M,3,L,F,A
210,other,11,H,M,2,L,F,B
211,CA,2,H,M,2,L,F,A
212,CA,46,H,F,2,L,F,A
213,FL,23,H,M,3,L,E,A
214,IN,24,U,M,3,L,F,C
215,NC,32,U,M,3,L,F,B
216,NC,51,U,F,3,L,F,B
217,other,50,U,other,2,L,G,D
218,FL,42,U,M,1,L,E,D
219,other,11,U,M,3,L,D,C
220,CA,40,H,F,3,L,F,B
221,CA,12,H,F,2,L,F,A
222,IL,35,H,F,3,L,E,C
223,IL,18,U,F,3,L,F,A
224,CA,3,H,M,3,L,F,A
225,other,43,U,M,3,L,F,D
226,FL,40,H,F,2,L,F,B
227,FL,12,H,M,3,L,G,B
228,TX,12,H,F,3,L,F,B
229,GA,12,H,F,2,L,F,A
230,FL,29,H,F,3,L,E,A
231,CA,4,U,F,1,L,E,A
232,NC,22,H,F,3,L,G,B
233,other,5,H,F,3,L,E,A
234,CA,3,H,M,2,L,F,A
235,MO,15,H,M,2,L,G,A
236,WI,18,H,F,3,L,E,A
237,MO,12,H,M,3,L,E,A
238,TX,49,H,F,2,L,E,A
239,other,39,U,M,2,L,E,D
240,FL,34,H,F,3,L,F,B
241,other,46,U,M,3,L,F,D
242,CA,35,H,M,3,L,F,B
243,MO,40,U,M,3,L,D,D
244,CA,14,H,M,3,L,F,A
245,other,37,H,F,3,L,F,D
246,other,17,U,F,3,L,F,A
247,CA,35,H,M,2,L,G,A
248,CA,13,H,M,3,L,E,A
249,other,38,U,M,3,L,F,C
250,CA,10,U,F,3,L,F,A
251,FL,21,H,M,2,L,F,A
252,IL,41,H,F,2,L,E,D
253,other,21,H,F,2,L,F,A
254,FL,37,H,F,2,L,F,A
255,CA,24,U,F,3,L,G,B
256,TX,24,H,M,3,L,F,A
257,other,47,H,F,2,L,F,D
258,MI,36,H,M,2,L,F,C
259,other,36,H,M,3,L,D,B
260,IN,36,U,F,3,L,F,D
261,CA,27,U,M,3,L,E,C
262,other,10,U,F,3,L,G,A
263,GA,14,H,M,3,L,F,A
264,other,15,U,M,2,L,F,A
265,GA,25,H,F,3,L,F,A
266,MI,39,H,M,3,L,F,D
267,CA,15,U,F,3,L,F,B
268,WI,49,U,M,3,L,E,D
269,other,49,H,F,2,L,F,D
270,MI,45,H,M,3,L,E,C
271,MI,39,H,M,2,L,F,D
272,GA,23,H,M,3,L,E,A
273,TX,3,U,M,1,L,D,B
274,MO,43,H,M,3,L,F,B
275,IL,35,H,other,2,L,F,A
276,GA,27,H,F,1,L,F,A
277,NC,27,H,M,3,L,G,B
278,TX,18,H,F,3,L,G,A
279,IL,49,U,F,2,L,G,C
280,CA,5,H,F,3,L,F,B
281,other,46,H,F,2,L,F,B
282,other,27,H,M,2,L,D,C
283,CA,24,H,F,3,L,F,A
284,MI,10,U,F,3,L,F,A
285,NC,40,H,F,3,L,F,D
286,CA,15,U,M,2,L,F,A
287,other,41,H,M,2,L,F,A
288,WI,10,H,F,2,L,E,B
289,GA,24,H,other,1,L,F,A
290,IL,20,H,M,2,L,G,A
291,NC,17,H,F,3,L,G,B
292,IL,8,H,M,2,L,G,A
293,CA,35,H,F,2,L,F,C
294,other,30,H,M,3,L,F,C
295,FL,25,U,F,3,L,F,B
296,TX,30,H,F,2,L,F,A
297,other,4,H,F,3,L,E,B
298,other,28,H,F,3,L,F,C
299,NC,26,H,F,3,L,F,B
300,WI,27,H,F,3,L,F,B
301,MI,37,U,F,1,L,F,A
302,CA,2,U,F,1,L,F,A
303,TX,24,H,M,3,L,F,C
304,IL,24,H,F,3,L,F,C
305,CA,1,U,F,3,L,E,A
306,other,30,H,F,3,L,F,C
307,WA,46,U,M,3,L,G,D
308,FL,37,H,M,2,L,F,B
309,FL,29,U,F,3,L,F,B
310,MO,3,U,F,3,L,G,B
311,NC,40,U,M,3,L,E,B
312,TX,14,H,F,3,L,G,A
313,WI,53,H,F,2,L,F,D
314,other,24,U,F,1,L,F,B
315,MI,16,H,M,3,L,F,A
316,WA,11,U,M,3,L,F,A
317,TX,22,H,M,2,L,E,A
318,other,43,U,M,2,L,E,D
319,other,53,U,F,3,L,G,D
320,CA,37,U,F,3,L,E,A
321,other,12,H,M,2,L,F,B
322,TX,24,H,M,3,L,F,C
323,MI,40,U,F,2,L,F,B
324,MI,21,H,M,3,L,F,C
325,IL,12,H,M,3,L,G,A
326,other,53,U,F,3,L,D,D
327,CA,12,H,M,3,L,F,B
328,TX,41,U,F,2,L,E,C
329,NC,24,H,M,3,L,F,B
330,WI,18,H,F,1,L,F,B
331,NC,36,U,M,2,L,F,C
332,other,36,H,M,3,L,F,D
333,other,41,H,F,3,L,E,D
334,CA,10,H,F,1,L,E,B
335,other,42,U,M,3,L,F,D
336,FL,12,U,F,2,L,D,A
337,other,41,H,F,3,L,D,D
338,MI,17,H,M,2,L,G,A
339,other,42,H,F,2,L,F,C
340,other,36,U,F,1,L,E,B
341,IL,10,U,M,3,L,E,A
342,IL,28,H,M,3,L,G,A
343,WI,13,U,F,3,L,F,B
344,WA,44,H,F,2,L,E,A
345,CA,13,H,M,3,L,F,A
346,IL,16,H,M,2,L,G,A
347,other,44,U,F,3,L,G,C
348,other,36,H,M,3,L,F,B
349,WI,11,U,M,3,L,G,B
350,other,30,U,M,3,L,F,C
351,NC,32,H,F,3,L,E,C
352,WI,49,U,M,3,L,F,D
353,FL,28,U,F,3,L,D,A
354,IL,12,U,F,3,L,F,A
355,MI,2,H,F,3,L,F,A
356,CA,24,H,M,2,L,G,B
357,MI,27,U,M,1,L,D,A
358,CA,33,H,M,3,L,E,A
359,FL,29,H,M,3,L,F,C
360,CA,13,H,M,3,L,F,A
361,TX,34,H,M,3,L,F,A
362,other,43,H,M,3,L,F,B
363,IL,10,U,F,2,L,F,A
364,other,36,U,M,1,L,F,B
365,other,24,H,F,2,L,F,C
366,CA,29,H,M,3,L,G,A
367,other,36,U,F,3,L,G,C
368,other,51,H,F,3,L,G,B
369,CA,35,U,F,3,L,E,A
370,other,28,U,F,3,L,F,D
371,TX,40,H,M,1,L,G,A
372,NC,49,U,F,3,L,G,C
373,FL,8,U,M,3,L,F,A
374,IL,3,U,F,2,L,F,A
375,other,45,U,other,3,L,F,D
376,other,31,U,M,3,L,G,D
377,other,26,U,F,3,L,D,C
378,IL,46,H,M,3,L,F,D
379,IN,27,H,M,3,L,F,B
380,other,12,H,M,3,L,D,B
381,MI,44,H,M,3,L,F,C
382,CA,30,H,F,2,L,E,A
383,other,35,U,F,3,L,E,B
384,CA,26,U,F,3,L,D,A
385,IN,27,U,F,3,L,F,C
386,WI,12,U,F,3,L,E,B
387,CA,18,H,M,2,L,G,A
388,other,35,H,M,2,L,E,B
389,CA,15,H,M,3,L,G,A
390,other,39,H,F,3,L,E,B
391,NC,50,U,F,1,L,F,D
392,other,45,H,F,2,L,F,B
393,other,50,H,F,2,L,D,D
394,FL,17,U,M,3,L,E,B
395,TX,40,H,F,3,L,G,B
396,other,7,U,F,2,L,F,A
397,other,43,U,M,3,L,E,D
398,other,36,H,F,2,L,G,C
399,other,10,U,M,3,L,G,A
400,CA,3,H,F,3,L,G,A
401,MI,44,U,M,3,L,G,C
402,FL,10,U,F,3,L,F,A
403,other,27,H,F,3,L,D,B
404,MI,40,U,F,3,L,F,B
405,other,45,H,M,2,L,F,D
406,NC,31,U,M,3,L,G,B
407,other,30,U,F,3,L,F,B
408,CA,2,H,M,3,L,F,A
409,MI,44,H,M,2,L,E,C
410,other,51,U,M,3,L,F,D
411,other,16,U,F,3,L,F,B
412,FL,21,H,M,3,L,F,A
413,MO,13,H,M,3,L,F,A
414,other,44,U,M,2,L,F,B
415,FL,29,H,M,3,L,D,C
416,MI,40,U,F,3,L,F,A
417,other,40,U,M,3,L,F,C
418,WA,35,H,M,3,L,F,A
419,other,30,H,F,3,L,F,B
420,other,45,U,M,1,L,F,D
421,other,17,U,F,3,L,F,B
422,CA,1,U,F,3,L,D,A
423,other,36,H,M,3,L,F,D
424,CA,5,U,F,3,L,D,A
425,other,36,U,F,3,L,F,B
426,IN,37,U,F,3,L,F,D
427,CA,34,H,F,3,L,E,A
428,TX,44,U,M,3,L,E,C
429,WI,35,H,M,3,L,F,B
430,CA,20,H,F,2,L,F,A
431,CA,33,H,M,3,L,G,A
432,CA,20,H,F,1,L,F,B
433,IL,31,U,F,3,L,E,B
434,MO,21,H,M,1,L,F,B
435,FL,46,H,F,2,L,F,D
436,CA,24,H,M,3,L,F,A
437,TX,53,H,F,3,L,F,D
438,GA,8,H,M,3,L,G,A
439,CA,2,U,M,2,L,F,A
440,CA,31,U,F,3,L,G,C
441,CA,13,H,F,2,L,E,A
442,MO,36,U,F,3,L,E,D
443,other,44,U,F,1,L,G,C
444,WA,12,U,F,3,L,G,C
445,other,36,U,M,3,L,F,D
446,MI,40,U,M,3,L,F,A
447,other,17,H,M,3,L,E,B
448,other,43,H,M,3,L,G,D
449,other,35,U,F,2,L,F,C
450,WA,20,H,M,3,L,E,A
451,other,40,U,F,3,L,F,D
452,CA,8,H,M,2,L,F,A
453,TX,21,H,M,3,L,F,B
454,GA,32,U,F,3,L,D,A
455,NC,17,H,M,3,L,F,B
456,GA,43,H,F,3,L,F,C
457,IN,39,H,F,2,L,G,C
458,NC,30,U,F,3,L,F,B
459,CA,27,U,other,3,L,E,A
460,WA,28,H,M,3,L,F,C
461,MI,20,U,M,3,L,E,A
462,FL,12,H,M,3,L,G,A
463,CA,11,H,F,3,L,G,A
464,CA,11,U,M,1,L,G,A
465,other,24,H,M,2,L,E,B
466,MO,43,U,M,2,L,F,D
467,other,49,U,M,3,L,D,C
468,IN,51,U,F,2,L,E,C
469,TX,36,H,F,3,L,F,D
470,other,45,H,M,3,L,F,D
471,IL,18,H,M,3,L,F,A
472,TX,18,H,F,3,L,E,B
473,CA,24,U,M,2,L,F,C
474,FL,20,U,M,3,L,G,A
475,FL,18,U,F,3,L,E,B
476,IL,16,U,F,3,L,G,A
477,GA,17,H,M,3,L,G,A
478,MI,36,U,F,3,L,F,A
479,MI,31,U,F,1,L,G,C
480,CA,17,U,F,3,L,E,A
481,other,45,U,F,3,L,F,D
482,CA,20,H,M,2,L,E,A
483,other,51,H,F,2,L,D,C
484,IL,40,U,F,3,L,D,D
485,CA,46,U,F,3,L,E,C
486,WA,2,H,M,2,L,G,A
487,other,14,H,M,3,L,G,B
488,FL,15,U,F,3,L,F,A
489,IL,44,U,F,1,L,E,C
490,other,39,H,M,3,L,F,C
491,TX,32,H,F,3,L,F,B
492,other,35,H,F,3,L,F,D
493,IL,13,H,M,3,L,F,A
494,CA,7,H,M,2,L,F,B
495,NC,28,U,M,3,L,F,D
496,other,51,U,M,3,L,F,D
497,other,41,U,F,3,L,F,D
498,other,46,H,F,2,L,F,B
499,MO,20,H,M,3,L,F,B
500,CA,11,U,F,3,L,E,A
501,IL,13,H,M,2,L,E,A
502,other,31,H,F,3,L,F,B
503,MO,27,H,M,3,L,D,A
504,other,40,H,M,3,L,G,D
505,other,36,U,F,1,L,E,D
506,other,40,H,F,3,L,F,B
507,other,27,U,M,3,L,F,B
508,WA,44,H,F,3,L,G,C
509,TX,20,H,M,3,L,E,A
510,IL,2,H,M,3,L,F,A
511,CA,1,U,other,1,L,E,A
512,MO,5,H,F,3,L,F,A
513,FL,20,H,M,3,L,E,B
514,other,48,H,F,3,L,E,D
515,GA,40,H,M,3,L,G,A
516,other,46,U,M,1,L,E,D
517,other,40,U,F,3,L,F,B
518,CA,19,H,F,3,L,F,A
519,WA,18,U,M,3,L,G,B
520,other,42,U,F,3,L,F,D
521,other,49,U,F,3,L,E,C
522,other,31,U,F,3,L,E,B
523,FL,25,H,F,2,L,F,B
524,WA,45,U,M,3,L,E,D
525,other,8,H,M,3,L,E,A
526,other,24,H,F,3,L,E,B
527,other,51,U,M,3,L,F,D
528,IL,14,U,F,3,L,F,A
529,FL,39,H,M,2,L,F,B
530,other,49,U,M,3,L,E,C
531,CA,13,U,M,3,L,F,A
532,other,21,H,F,3,L,F,B
533,IL,21,U,F,3,L,E,B
534,GA,51,U,F,3,L,E,B
535,MO,53,U,F,1,L,G,D
536,FL,31,H,M,3,L,F,A
537,MO,21,U,M,2,L,E,B
538,CA,5,H,F,3,L,F,A
539,FL,2,H,F,3,L,E,A
540,other,35,U,F,2,L,E,C
541,IL,18,U,F,3,L,F,A
542,IL,40,H,M,3,L,G,B
543,CA,3,H,M,3,L,E,A
544,IL,15,H,M,1,L,F,A
545,MO,40,U,M,3,L,E,A
546,CA,13,U,F,2,L,F,A
547,other,27,U,F,3,L,F,C
548,CA,14,U,F,2,L,F,A
549,other,46,U,F,3,L,F,A
550,other,43,U,F,3,L,G,D
551,IL,35,H,M,3,L,F,A
552,other,45,U,M,2,L,F,D
553,WA,16,U,M,1,L,D,A
554,other,51,H,F,3,L,E,C
555,CA,15,H,F,1,L,E,B
556,other,45,H,M,2,L,F,A
557,WA,35,U,M,3,L,F,C
558,other,53,U,F,2,L,F,D
559,IN,11,H,F,3,L,G,B
560,CA,11,H,F,2,L,F,A
561,NC,49,U,F,3,L,F,B
562,other,35,H,F,3,L,F,B
563,MI,11,H,F,2,L,F,B
564,FL,13,U,F,3,L,F,B
565,other,29,U,F,3,L,E,A
566,FL,46,U,M,2,L,E,C
567,other,51,U,M,3,L,E,C
568,IL,17,H,M,3,L,F,A
569,MO,36,U,F,3,L,D,D
570,other,44,U,M,3,L,E,B
571,IL,24,H,M,2,L,F,C
572,other,13,U,M,3,L,F,B
573,FL,26,H,M,3,L,G,B
574,other,42,H,F,3,L,F,D
575,CA,20,H,M,3,L,E,A
576,other,36,U,other,1,L,E,D
577,FL,9,H,F,2,L,E,A
578,other,40,U,F,1,L,D,B
579,MO,30,H,F,3,L,F,B
580,other,17,H,F,2,L,E,B
581,other,25,U,M,3,L,E,C
582,GA,16,H,M,3,L,G,A
583,other,24,H,M,3,L,F,C
584,CA,27,H,M,3,L,F,B
585,WA,15,H,M,3,L,E,A
586,GA,43,U,F,2,L,F,D
587,WA,28,U,M,2,L,F,C
588,IN,27,H,M,3,L,G,C
589,CA,21,H,M,3,L,F,B
590,other,39,H,M,3,L,E,B
591,FL,23,U,F,3,L,G,A
592,other,12,H,F,2,L,F,A
593,CA,6,U,F,3,L,F,A
594,CA,20,H,F,3,L,F,A
595,CA,10,H,M,2,L,F,A
596,MO,48,H,M,2,L,G,D
597,other,39,U,M,1,L,F,B
598,other,52,U,F,3,L,G,D
599,TX,40,H,F,2,L,F,C
600,CA,7,U,F,2,L,F,A
601,NC,25,H,M,3,L,G,B
602,other,41,U,M,3,L,G,C
603,FL,9,U,F,3,L,G,A
604,CA,14,H,F,1,L,G,B
605,other,11,U,M,3,L,G,B
606,FL,29,U,M,3,L,F,B
607,CA,9,H,M,3,L,F,A
608,TX,24,H,M,3,L,G,A
609,GA,43,U,F,3,L,F,D
610,TX,12,H,F,3,L,E,B
611,IN,49,U,M,3,L,F,D
612,WA,46,H,F,3,L,D,D
613,CA,2,H,M,1,L,D,A
614,other,39,H,F,3,L,G,B
615,CA,2,H,F,3,L,F,A
616,MI,40,H,F,3,L,G,B
617,CA,5,U,F,3,L,F,A
618,FL,20,U,F,3,L,G,A
619,other,51,H,M,2,L,F,D
620,CA,3,U,M,3,L,F,A
621,CA,1,H,M,3,L,F,A
622,IL,8,H,F,2,L,G,A
623,other,25,H,F,1,L,F,C
624,CA,15,U,F,3,L,G,A
625,WA,40,H,F,2,L,G,B
626,other,24,U,M,1,L,F,B
627,CA,31,U,F,3,L,F,A
628,other,45,H,M,3,L,F,D
629,NC,46,H,M,2,L,D,B
630,TX,16,H,M,2,L,G,A
631,WA,24,H,F,3,L,F,A
632,MI,36,U,M,2,L,E,D
633,TX,38,H,F,2,L,D,A
634,WI,5,H,F,3,L,D,B
635,TX,30,H,other,2,L,E,B
636,other,41,H,M,3,L,E,C
637,CA,10,U,F,3,L,E,A
638,CA,24,H,F,2,L,F,C
639,other,32,U,F,3,L,G,B
640,TX,10,U,M,1,L,G,A
641,other,50,U,F,2,L,G,D
642,IN,49,H,M,3,L,E,B
643,MI,13,U,F,3,L,E,A
644,NC,27,H,F,3,L,E,C
645,TX,10,U,F,1,L,E,B
646,WI,35,U,F,1,L,E,B
647,FL,40,H,M,3,L,G,C
648,CA,40,U,F,2,L,F,A
649,WA,18,U,M,3,L,F,B
650,FL,25,H,M,3,L,E,B
651,CA,2,H,F,3,L,E,A
652,WA,40,H,F,2,L,F,A
653,NC,43,H,F,3,L,D,C
654,WI,31,H,F,3,L,F,C
655,WI,21,H,F,3,L,F,B
656,WA,18,U,M,1,L,F,B
657,FL,18,H,M,2,L,F,B
658,WA,44,U,M,3,L,F,B
659,FL,27,U,F,1,L,F,B
660,CA,7,H,other,2,L,G,A
661,other,40,H,F,2,L,F,C
662,WA,38,U,F,2,L,F,D
663,other,16,H,M,3,L,E,B
664,CA,40,H,M,3,L,G,C
665,IL,30,U,M,1,L,F,A
666,MO,16,U,F,2,L,F,B
667,other,29,U,M,3,L,E,B
668,other,15,U,M,3,L,F,D
669,CA,5,H,M,3,L,G,A
670,CA,33,H,F,2,L,E,B
671,other,51,U,M,3,L,F,C
672,MO,51,U,M,3,L,F,D
673,CA,19,U,M,3,L,G,A
674,TX,30,U,F,2,L,F,A
675,WA,46,U,M,3,L,F,D
676,GA,49,U,F,3,L,F,D
677,NC,47,U,F,3,L,F,C
678,CA,38,H,F,1,L,G,B
679,TX,24,H,M,3,L,G,A
680,other,45,H,F,2,L,F,D
681,MO,53,H,F,3,L,G,D
682,other,46,H,F,2,L,F,D
683,NC,44,U,F,3,L,D,B
684,NC,32,U,F,2,L,F,C
685,FL,23,H,M,3,L,F,B
686,other,11,U,F,3,L,F,B
687,other,28,H,M,3,L,E,A
688,other,40,U,M,3,L,E,B
689,IL,12,H,F,3,L,G,A
690,other,30,H,F,3,L,F,C
691,IL,25,U,F,2,L,E,A
692,CA,12,H,F,3,L,F,A
693,FL,27,H,F,3,L,D,B
694,GA,24,H,M,2,L,G,A
695,other,40,U,F,2,L,E,B
696,CA,41,H,M,3,L,F,A
697,IL,45,H,M,3,L,F,D
698,other,23,U,M,3,L,F,B
699,WA,35,U,F,3,L,F,C
700,MI,16,H,F,2,L,G,A
701,FL,43,H,F,2,L,G,D
702,FL,8,H,F,3,L,E,A
703,other,36,U,M,3,L,F,D
704,CA,13,H,F,1,L,F,A
705,IL,44,U,M,3,L,E,D
706,TX,14,H,F,3,L,G,A
707,other,51,U,M,3,L,F,C
708,other,36,H,F,2,L,F,B
709,other,45,U,M,3,L,G,D
710,other,36,H,F,3,L,E,C
711,MI,35,U,M,3,L,F,A
712,WI,49,U,F,1,L,E,B
713,other,30,H,F,3,L,E,B
714,other,1,H,M,2,L,F,B
715,TX,16,H,F,3,L,F,A
716,CA,24,U,F,3,L,F,A
717,MI,40,U,M,2,L,G,A
718,WA,45,U,M,3,L,G,D
719,FL,24,H,F,2,L,F,B
720,FL,23,U,M,3,L,G,B
721,CA,17,U,M,3,L,F,A
722,MI,5,H,other,3,L,D,A
723,NC,42,H,M,3,L,G,B
724,other,8,U,M,3,L,E,B
725,WA,35,U,F,2,L,F,A
726,TX,35,H,M,3,L,F,C
727,other,36,H,M,3,L,G,B
728,CA,3,U,F,3,L,F,A
729,other,45,U,M,2,L,F,D
730,MI,17,U,M,2,L,F,B
731,MO,12,H,M,2,L,F,A
732,other,14,H,F,3,L,E,A
733,MI,16,H,F,3,L,E,B
734,NC,38,U,M,3,L,F,C
735,CA,13,H,M,3,L,F,A
736,CA,23,U,F,1,L,F,A
737,FL,18,H,other,3,L,G,A
738,TX,22,H,M,3,L,D,A
739,other,40,U,F,2,L,F,B
740,CA,46,H,F,2,L,G,D
741,other,40,U,F,1,L,E,C
